T	H	v
35.4    20.2    2.0
35.6    20.0    2.6
35.8    19.8    2.6
36.1    19.8    2.7
36.3    20.3    2.7
36.6    20.8    2.7
35.8    20.6    1.7
36.1    20.2    2.5
36.6    20.3    1.5
36.9    20.0    2.7
37.2    20.3    2.9
37.6    21.6    2.7
