V;v;P;v2;P2;v3;
1,2;2,686;4,10;0.00268610;4.10;2.686;
1,3;3,036;3,90;0.00303646;3.90;3.036;
1,5;3,504;3,65;0.00350361;3.65;3.504;
1,7;3,971;3,43;0.00397076;3.43;3.971;
1,9;4,438;3,25;0.00443790;3.25;4.438;
2,1;4,905;3,03;0.00490505;3.03;4.905;
2,3;5,372;2,85;0.00537220;2.85;5.372;
2,5;5,839;2,70;0.00583935;2.70;5.839;
3,0;7,007;2,58;0.00700722;2.58;7.007;
3,5;8,175;2,13;0.00817509;2.13;8.175;
4,0;9,343;1,90;0.00934296;1.90;9.343;
