P;v;T;GasIdeal;VanderWaals;RedlichKwong;Soave;PengRobinson;BWRHanStarling;
4,00;0,759;300;462,53;1036,85;72,92;47,17;-30,30;-47,4;
2,55;3,971;300;68,66;7,01;1,71;-0,36;-2,12;-5,2;
1,58;9,343;300;15,69;-3,10;-5,66;-6,30;-7,66;-8,2;
4,10;2,686;328;69,55;-6,20;-7,10;-5,78;-7,84;-10,7;
3,03;4,905;328;25,64;-7,41;-9,29;-8,71;-10,72;-11,4;
1,90;9,343;328;5,19;-9,82;-11,18;-10,91;-12,27;-12,2;
