T;V;P;P2;
282.627;198.527;65.541;;
282.627;198.527;65.541;;
282.978;198.527;65.541;;
282.978;198.527;65.541;;
282.978;198.527;66.08;;
282.978;198.527;65.541;;
283.329;198.527;65.541;;
283.329;198.527;65.541;;
283.329;198.527;65.541;;
283.329;198.527;66.08;;
283.329;198.527;66.08;;
283.68;198.527;65.541;;
284.031;198.527;66.08;;
283.68;198.527;66.08;;
284.031;198.527;66.08;;
284.031;198.527;66.619;;
284.031;198.527;66.08;;
284.031;198.527;66.619;;
284.031;198.527;66.08;;
284.031;198.527;66.08;;
284.031;198.527;66.08;;
284.031;198.527;66.619;;
284.381;198.527;66.619;;
284.381;198.527;66.619;;
284.381;198.527;66.08;;
284.381;198.527;66.619;;
284.732;198.527;66.619;;
284.732;198.527;66.619;;
284.732;198.527;66.619;;
285.434;198.527;66.619;;
284.732;198.527;66.619;;
285.434;198.527;66.619;;
285.434;198.527;66.619;;
285.434;198.527;66.619;;
285.434;198.527;66.619;;
285.434;198.527;66.619;;
285.434;198.527;66.619;;
285.434;198.527;66.619;;
285.434;198.527;66.619;;
285.434;198.527;66.619;;
285.434;198.527;66.619;;
285.434;198.527;66.619;;
285.434;198.527;66.619;;
285.434;198.527;66.619;;
285.784;198.527;66.619;;
285.434;198.527;66.619;;
285.784;198.527;66.619;;
285.784;198.527;66.619;;
285.784;198.527;66.619;;
285.784;198.527;67.157;;
286.135;198.527;66.619;;
286.135;198.527;66.619;;
286.135;198.527;67.157;;
286.135;198.527;66.619;;
286.135;198.527;67.157;;
286.135;198.527;67.157;;
286.135;198.527;67.157;;
286.486;198.527;67.157;;
286.486;198.527;67.157;;
286.486;198.527;67.157;;
286.486;198.527;67.157;;
286.837;198.527;67.157;;
286.837;198.527;67.157;;
286.837;198.527;67.157;;
286.837;198.527;67.157;;
286.837;198.527;67.157;;
286.837;198.527;67.157;;
286.837;198.527;67.157;;
286.837;198.527;67.157;;
287.188;198.527;67.696;;
286.837;198.527;67.157;;
287.188;198.527;67.696;;
287.188;198.527;67.157;;
287.188;198.527;67.696;;
287.188;198.527;67.696;;
287.188;198.527;67.696;;
287.538;198.527;67.157;;
287.538;198.527;67.157;;
287.538;198.527;67.157;;
287.538;198.527;67.157;;
287.538;198.527;67.157;;
287.538;198.527;67.696;;
287.538;198.527;67.696;;
288.24;198.527;67.696;;
288.24;198.527;67.696;;
288.24;198.527;67.696;;
288.24;198.527;67.696;;
288.24;198.527;67.696;;
288.24;198.527;67.696;;
288.24;198.527;67.696;;
288.24;198.527;67.696;;
288.24;198.687;67.696;;
288.591;198.527;67.696;;
288.24;198.527;67.696;;
288.591;198.527;67.696;;
288.591;198.527;67.696;;
288.591;198.527;67.696;;
288.941;198.527;67.696;;
288.941;198.527;67.696;;
288.941;198.527;67.696;;
288.941;198.527;67.696;;
288.941;198.527;67.696;;
288.941;198.527;67.696;;
288.941;198.527;67.696;;
289.292;198.527;67.696;;
289.643;198.527;67.696;;
289.643;198.527;67.696;;
289.643;198.527;67.696;;
289.643;198.527;67.696;;
289.643;198.527;67.696;;
289.643;198.527;67.696;;
289.994;198.527;67.696;;
289.643;198.527;67.696;;
289.643;198.527;67.696;;
289.994;198.527;67.696;;
290.345;198.527;67.696;;
290.345;198.527;67.696;;
290.345;198.527;67.696;;
290.345;198.527;67.696;;
291.046;198.527;67.696;;
