T;V;P;PI;
282.627;198.687;97.87;;
282.627;198.527;97.87;;
282.627;198.687;97.87;;
282.627;198.527;97.87;;
282.978;198.687;97.87;;
282.978;198.527;97.87;;
282.978;198.527;97.87;;
282.978;198.527;97.87;;
283.329;198.527;98.408;;
283.329;198.687;97.87;;
283.329;198.527;97.87;;
283.329;198.687;98.408;;
283.329;198.527;98.408;;
283.68;198.527;98.408;;
283.68;198.687;98.408;;
284.031;198.527;98.408;;
284.031;198.687;98.408;;
284.031;198.687;98.408;;
284.031;198.527;98.408;;
284.031;198.527;98.947;;
284.031;198.527;98.947;;
284.381;198.687;98.408;;
284.732;198.527;98.947;;
284.381;198.527;98.947;;
284.381;198.687;98.947;;
284.732;198.687;98.947;;
284.732;198.687;98.947;;
285.434;198.687;98.947;;
285.434;198.527;98.947;;
285.434;198.527;98.947;;
285.434;198.527;98.947;;
285.434;198.527;98.947;;
285.434;198.527;99.486;;
285.434;198.687;98.947;;
285.434;198.527;98.947;;
285.434;198.687;98.947;;
285.434;198.527;98.947;;
285.434;198.527;98.947;;
285.434;198.527;99.486;;
285.434;198.527;98.947;;
285.434;198.527;99.486;;
285.784;198.687;99.486;;
285.434;198.527;99.486;;
285.784;198.527;99.486;;
285.784;198.527;99.486;;
285.784;198.527;99.486;;
285.784;198.527;99.486;;
286.135;198.687;99.486;;
286.135;198.527;99.486;;
286.135;198.527;99.486;;
286.135;198.687;99.486;;
286.135;198.527;99.486;;
286.135;198.527;99.486;;
286.135;198.527;99.486;;
286.135;198.527;99.486;;
286.135;198.527;99.486;;
286.486;198.527;99.486;;
286.135;198.527;99.486;;
286.837;198.527;99.486;;
286.837;198.527;99.486;;
286.837;198.527;100.025;;
286.837;198.687;99.486;;
286.837;198.527;99.486;;
286.837;198.527;100.025;;
286.837;198.527;100.025;;
286.837;198.527;99.486;;
286.837;198.687;99.486;;
286.837;198.687;99.486;;
286.837;198.527;100.025;;
286.837;198.687;100.025;;
286.837;198.527;100.025;;
286.837;198.527;100.025;;
287.188;198.687;100.025;;
286.837;198.527;100.025;;
287.188;198.527;100.025;;
287.188;198.527;100.025;;
287.188;198.527;100.025;;
287.538;198.527;100.025;;
287.538;198.687;100.025;;
287.538;198.687;100.025;;
287.538;198.527;100.025;;
287.538;198.687;100.025;;
287.538;198.527;100.025;;
287.538;198.527;100.025;;
287.538;198.527;100.025;;
287.538;198.687;100.025;;
288.24;198.687;100.025;;
287.889;198.687;100.025;;
288.24;198.687;100.025;;
288.24;198.527;100.025;;
288.24;198.687;100.025;;
288.24;198.527;100.025;;
288.24;198.687;100.025;;
288.24;198.687;100.025;;
288.24;198.527;100.025;;
288.24;198.527;100.025;;
