T	P	V
416	2176	4480
417	2208	4560
418	2184	4560
419	2184	4560
420	2160	4560
421	2176	4640
422	2160	4640
423	2160	4640
424	2136	4640
425	2160	4680
426	2136	4640
427	2128	4680
428	2120	4680
429	2136	4720
430	2112	4760
431	2120	4760
432	2096	4720
433	2120	4800
434	2096	4800
435	2104	4760
436	2088	4800
437	2096	4840
438	2080	4840
439	2080	4840
440	2064	4840
441	2080	4880
442	2064	4920
443	2064	4840
444	2048	4840
445	2064	4920
446	2056	4920
447	2048	4920
448	2040	4920
449	2048	4960
450	2032	4960
451	2040	4960
452	2024	4920
453	2032	5000
454	2024	4960
455	2016	4960
456	2000	4960
457	2024	5000
458	2000	5000
459	2008	5000
460	2000	4960
461	2008	5000
462	1992	5000
463	2000	5000
