P	V
2912	-40
2928	0
2952	40
2968	0
2968	80
2984	40
2992	80
2992	120
3008	440
3000	680
3008	760
2984	800
3000	840
2992	840
2984	960
2976	960
2976	1040
2960	1040
2952	1080
2960	1160
2952	1160
2944	1280
2928	1280
2912	1280
2928	1400
2912	1400
2912	1520
2896	1520
2896	1480
2872	1480
2888	1600
2872	1640
2864	1600
2872	1760
2832	1720
2848	1880
2824	1880
2808	1880
2824	1960
2808	2000
2784	1960
2800	2080
2776	2120
2760	2120
2776	2200
2752	2200
2728	2240
2752	2320
2728	2280
2704	2360
2720	2440
2696	2440
2696	2600
2672	2560
2680	2560
2664	2680
2648	2680
2624	2760
2640	2840
2624	2800
2624	2840
2600	2840
2608	2920
2600	2920
2592	2920
2568	2920
2592	3040
2576	3040
2568	3160
2544	3160
2544	3240
2512	3280
2496	3320
2512	3360
2496	3360
2496	3480
2448	3480
2440	3560
2432	3680
2416	3640
2408	3800
2392	3800
2368	3800
2384	3880
2344	3920
2368	4000
2344	4000
2336	4000
2312	4000
2336	4080
2312	4080
2288	4080
2304	4200
2288	4200
2264	4200
2280	4280
2264	4280
2240	4320
2256	4360
2240	4400
2232	4360
2208	4360
2192	4480
2208	4520
2184	4520
2160	4520
2184	4600
2168	4600
2160	4600
2144	4600
2144	4680
2144	4720
2120	4720
2104	4800
2104	4840
2088	4840
2088	4880
2056	4960
1944	4760
1944	4720
1936	4400
1952	4480
1936	4320
1960	4320
1952	4040
1960	4000
1968	3960
1960	3880
1984	3880
1976	3840
1992	3720
2000	3640
2008	3360
2024	3400
2040	3280
2040	3160
2040	3120
2056	3120
2080	2840
2080	2680
2096	2840
2104	2680
2120	2520
2128	2520
2152	2520
2152	2360
2160	2240
2208	2040
2216	2000
2216	1880
2240	1880
2248	1760
2264	1760
2272	1560
2288	1680
2296	1560
2304	1440
2328	1560
2328	1400
2336	1280
2360	1280
2360	1160
2384	1240
2376	1080
2384	1040
2408	1120
2416	1000
2424	920
2448	1000
2448	880
2456	920
2448	800
2472	880
2480	800
2480	760
2488	680
2504	800
2504	680
2504	600
2536	680
2552	600
2544	600
2552	480
2576	520
2576	440
2600	480
2608	440
2608	360
2632	400
2632	320
2664	320
2664	280
2672	280
2680	200
2696	280
2696	200
2720	200
2728	160
2752	160
2760	120
2760	40
2784	120
2784	80
2784	40
2792	0
2816	0
2856	40
2872	-40
2888	40
2928	40
2992	160
2984	160
3000	160
3000	200
3008	240
3008	800
3000	800
3008	920
2992	880
2992	1000
2984	1000
2976	1120
2960	1120
2960	1240
2952	1240
2936	1240
2952	1320
2936	1320
2920	1320
2928	1440
2920	1440
2896	1440
2912	1560
2896	1560
2880	1560
2888	1640
2880	1680
2856	1680
2880	1760
2856	1800
2848	1800
2840	1800
2832	1920
2816	1920
2832	2000
2816	2000
2784	2040
2808	2120
2792	2120
2784	2200
2760	2160
2784	2240
2760	2240
2744	2280
2752	2400
2736	2400
2728	2360
2704	2440
2728	2520
2712	2520
2704	2600
2680	2600
2688	2640
2672	2760
2656	2760
2656	2840
2624	2880
2632	2880
2632	2920
2600	3000
2576	3000
2600	3040
2568	3120
2560	3080
2576	3160
2552	3320
2528	3320
2512	3400
2496	3400
2472	3400
2496	3520
2472	3480
2464	3600
2440	3680
2416	3720
2400	3680
2416	3800
2392	3840
2392	3880
2368	3920
2352	3880
2368	3960
2344	3960
2320	4000
2344	4040
2320	4040
2288	4160
2240	4280
2240	4360
2192	4440
2192	4520
2168	4640
2144	4640
2104	4720
2088	4760
2088	4920
2064	4880
1952	4960
1936	4840
1936	4880
1928	4760
1928	4720
1928	4640
1928	4600
1928	4520
1944	4120
1960	4240
1968	4080
1968	4000
1976	4000
1976	3920
1968	3880
1992	3480
2016	3520
2024	3360
2016	3200
2032	3360
2040	3240
2032	3040
2056	3200
2048	3040
2056	3040
2056	2920
2072	3080
2072	2920
2080	2760
2104	2880
2104	2760
